,red,white,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
29,0,1,7.2,0.32,0.36,2.0,0.033,114.0,0.9906,3.1,0.71,12.3,7
30,0,1,8.5,0.24,0.39,10.4,0.044,142.0,0.9974,3.2,0.53,10.0,6
31,0,1,8.3,0.14,0.34,1.1,0.042,47.0,0.9934,3.47,0.4,10.2,6
32,0,1,7.4,0.25,0.36,2.05,0.05,100.0,0.992,3.19,0.44,10.8,6
34,0,1,5.8,0.27,0.2,14.95,0.044,179.0,0.9962,3.37,0.37,10.2,5
35,0,1,7.3,0.28,0.43,1.7,0.08,123.0,0.9905,3.19,0.42,12.8,5
36,0,1,6.5,0.39,0.23,5.4,0.051,149.0,0.9934,3.24,0.35,10.0,5
37,0,1,7.0,0.33,0.32,1.2,0.053,138.0,0.9906,3.13,0.28,11.2,6
38,0,1,7.3,0.24,0.39,17.95,0.057,149.0,0.9999,3.21,0.36,8.6,5
39,0,1,7.3,0.24,0.39,17.95,0.057,149.0,0.9999,3.21,0.36,8.6,5
40,0,1,6.7,0.23,0.39,2.5,0.172,158.0,0.9937,3.11,0.36,9.4,6
41,0,1,6.7,0.24,0.39,2.9,0.173,157.0,0.9937,3.1,0.34,9.4,6
42,0,1,7.0,0.31,0.26,7.4,0.069,160.0,0.9954,3.13,0.46,9.8,6
43,0,1,6.6,0.24,0.27,1.4,0.057,152.0,0.9934,3.22,0.56,9.5,6
44,0,1,6.7,0.23,0.26,1.4,0.06,154.0,0.9934,3.24,0.56,9.5,6
45,0,1,7.4,0.18,0.31,1.4,0.058,167.0,0.9931,3.16,0.53,10.0,7
46,0,1,6.2,0.45,0.26,4.4,0.063,206.0,0.994,3.27,0.52,9.8,4
47,0,1,6.2,0.46,0.25,4.4,0.066,207.0,0.9939,3.25,0.52,9.8,5
48,0,1,7.0,0.31,0.26,7.4,0.069,160.0,0.9954,3.13,0.46,9.8,6
49,0,1,6.9,0.19,0.35,5.0,0.067,150.0,0.995,3.36,0.48,9.8,5
50,0,1,7.2,0.19,0.31,1.6,0.062,173.0,0.9917,3.35,0.44,11.7,6
51,0,1,6.6,0.25,0.29,1.1,0.068,124.0,0.9914,3.34,0.58,11.0,7
52,0,1,6.2,0.16,0.33,1.1,0.057,82.0,0.991,3.32,0.46,10.9,7
53,0,1,6.4,0.18,0.35,1.0,0.045,108.0,0.9911,3.31,0.35,10.9,6
55,0,1,6.9,0.25,0.35,1.3,0.039,191.0,0.9908,3.13,0.52,11.0,6
56,0,1,7.2,0.21,0.34,11.9,0.043,213.0,0.9962,3.09,0.5,9.6,6
57,0,1,6.0,0.19,0.26,12.4,0.048,147.0,0.9972,3.3,0.36,8.9,6
58,0,1,6.6,0.38,0.15,4.6,0.044,78.0,0.9931,3.11,0.38,10.2,6
59,0,1,7.4,0.2,0.36,1.2,0.038,111.0,0.9926,3.36,0.34,9.9,6
60,0,1,6.8,0.22,0.24,4.9,0.092,123.0,0.9951,3.03,0.46,8.6,6
61,0,1,6.0,0.19,0.26,12.4,0.048,147.0,0.9972,3.3,0.36,8.9,6
62,0,1,7.0,0.47,0.07,1.1,0.035,151.0,0.991,3.02,0.34,10.5,5
63,0,1,6.6,0.38,0.15,4.6,0.044,78.0,0.9931,3.11,0.38,10.2,6
64,0,1,7.2,0.24,0.27,1.4,0.038,122.0,0.9927,3.15,0.46,10.3,6
65,0,1,6.2,0.35,0.03,1.2,0.064,120.0,0.9934,3.22,0.54,9.1,5
66,0,1,6.4,0.26,0.24,6.4,0.04,124.0,0.9903,3.22,0.49,12.6,7
67,0,1,6.7,0.25,0.13,1.2,0.041,174.0,0.992,3.14,0.42,9.8,5
68,0,1,6.7,0.23,0.31,2.1,0.046,96.0,0.9926,3.33,0.64,10.7,8
69,0,1,7.4,0.24,0.29,10.1,0.05,105.0,0.9962,3.13,0.35,9.5,5
70,0,1,6.2,0.27,0.43,7.8,0.056,244.0,0.9956,3.1,0.51,9.0,6
71,0,1,6.8,0.3,0.23,4.6,0.061,238.5,0.9958,3.32,0.6,9.5,5
72,0,1,6.0,0.27,0.28,4.8,0.063,201.0,0.9964,3.69,0.71,10.0,5
73,0,1,8.6,0.23,0.46,1.0,0.054,72.0,0.9941,2.95,0.49,9.1,6
74,0,1,6.7,0.23,0.31,2.1,0.046,96.0,0.9926,3.33,0.64,10.7,8
75,0,1,7.4,0.24,0.29,10.1,0.05,105.0,0.9962,3.13,0.35,9.5,5
76,0,1,7.1,0.18,0.36,1.4,0.043,87.0,0.9898,3.26,0.37,12.7,7
77,0,1,7.0,0.32,0.34,1.3,0.042,69.0,0.9912,3.31,0.65,12.0,7
78,0,1,7.4,0.18,0.3,8.8,0.064,103.0,0.9961,2.94,0.56,9.3,5
79,0,1,6.7,0.54,0.28,5.4,0.06,105.0,0.9949,3.27,0.37,9.0,5
80,0,1,6.8,0.22,0.31,1.4,0.053,114.0,0.9929,3.39,0.77,10.6,6
81,0,1,7.1,0.2,0.34,16.0,0.05,166.0,0.9985,3.21,0.6,9.2,6
82,0,1,7.1,0.34,0.2,6.1,0.063,164.0,0.9946,3.17,0.42,10.0,5
83,0,1,7.3,0.22,0.3,8.2,0.047,207.0,0.9966,3.33,0.46,9.5,6
84,0,1,7.1,0.43,0.61,11.8,0.045,155.0,0.9974,3.11,0.45,8.7,5
85,0,1,7.1,0.44,0.62,11.8,0.044,152.0,0.9975,3.12,0.46,8.7,6
87,0,1,6.8,0.25,0.31,13.3,0.05,202.0,0.9972,3.22,0.48,9.7,6
88,0,1,7.1,0.43,0.61,11.8,0.045,155.0,0.9974,3.11,0.45,8.7,5
89,0,1,7.1,0.44,0.62,11.8,0.044,152.0,0.9975,3.12,0.46,8.7,6
90,0,1,7.2,0.39,0.63,11.0,0.044,156.0,0.9974,3.09,0.44,8.7,6
91,0,1,6.1,0.27,0.43,7.5,0.049,243.0,0.9957,3.12,0.47,9.0,5
92,0,1,6.9,0.24,0.33,1.7,0.035,136.0,0.99,3.26,0.4,12.6,7
93,0,1,6.9,0.21,0.33,1.8,0.034,136.0,0.9899,3.25,0.41,12.6,7
94,0,1,7.5,0.17,0.32,1.7,0.04,148.0,0.9916,3.21,0.44,11.5,7
95,0,1,7.1,0.26,0.29,12.4,0.044,240.0,0.9969,3.04,0.42,9.2,6
96,0,1,6.0,0.34,0.66,15.9,0.046,164.0,0.9979,3.14,0.5,8.8,6
97,0,1,8.6,0.265,0.36,1.2,0.034,80.0,0.9913,2.95,0.36,11.4,7
99,0,1,6.0,0.34,0.66,15.9,0.046,164.0,0.9979,3.14,0.5,8.8,6
100,0,1,7.4,0.25,0.37,13.5,0.06,192.0,0.9975,3.0,0.44,9.1,5
101,0,1,7.1,0.12,0.32,9.6,0.054,162.0,0.9962,3.4,0.41,9.4,5
102,0,1,6.0,0.21,0.24,12.1,0.05,164.0,0.997,3.34,0.39,9.4,5
103,0,1,7.5,0.305,0.4,18.9,0.059,170.0,1.0,2.99,0.46,9.0,5
104,0,1,7.4,0.25,0.37,13.5,0.06,192.0,0.9975,3.0,0.44,9.1,5
105,0,1,7.3,0.13,0.32,14.4,0.051,109.0,0.9974,3.2,0.35,9.2,6
106,0,1,7.1,0.12,0.32,9.6,0.054,162.0,0.9962,3.4,0.41,9.4,5
107,0,1,7.1,0.23,0.35,16.5,0.04,171.0,0.999,3.16,0.59,9.1,6
108,0,1,7.1,0.23,0.35,16.5,0.04,171.0,0.999,3.16,0.59,9.1,6
109,0,1,6.9,0.33,0.28,1.3,0.051,187.0,0.9927,3.27,0.6,10.3,5
110,0,1,6.5,0.17,0.54,8.5,0.082,163.0,0.9959,2.89,0.39,8.8,6
111,0,1,7.2,0.27,0.46,18.75,0.052,255.0,1.0,3.04,0.52,8.9,5
112,0,1,7.2,0.31,0.5,13.3,0.056,195.0,0.9982,3.01,0.47,9.2,5
113,0,1,6.7,0.41,0.34,9.2,0.049,150.0,0.9968,3.22,0.51,9.1,5
114,0,1,6.7,0.41,0.34,9.2,0.049,150.0,0.9968,3.22,0.51,9.1,5
115,0,1,5.5,0.485,0.0,1.5,0.065,103.0,0.994,3.63,0.4,9.7,4
116,0,1,6.0,0.31,0.24,3.3,0.041,143.0,0.9914,3.31,0.44,11.3,6
117,0,1,7.0,0.14,0.4,1.7,0.035,85.0,0.9911,3.19,0.42,11.8,6
118,0,1,7.2,0.31,0.5,13.3,0.056,195.0,0.9982,3.01,0.47,9.2,5
119,0,1,7.3,0.32,0.48,13.3,0.06,196.0,0.9982,3.04,0.5,9.2,5
120,0,1,5.9,0.36,0.04,5.7,0.046,87.0,0.9934,3.22,0.51,10.2,5
121,0,1,7.8,0.24,0.32,12.2,0.054,138.0,0.9984,3.01,0.54,8.8,5
122,0,1,7.4,0.16,0.31,6.85,0.059,131.0,0.9952,3.29,0.34,9.7,5
123,0,1,6.9,0.19,0.28,5.0,0.058,146.0,0.9952,3.29,0.36,9.1,6
124,0,1,6.4,0.13,0.47,1.6,0.092,158.0,0.9928,3.21,0.36,9.8,6
125,0,1,6.7,0.19,0.36,1.1,0.026,143.0,0.9912,3.27,0.48,11.0,6
126,0,1,7.4,0.39,0.23,7.0,0.033,126.0,0.994,3.14,0.42,10.5,5
127,0,1,6.5,0.24,0.32,7.6,0.038,203.0,0.9958,3.45,0.54,9.7,7
128,0,1,6.1,0.3,0.56,2.8,0.044,179.0,0.9924,3.3,0.57,10.9,7
129,0,1,6.1,0.3,0.56,2.7,0.046,184.0,0.9924,3.31,0.57,10.9,6
130,0,1,5.7,0.26,0.25,10.4,0.02,57.0,0.994,3.39,0.37,10.6,5
131,0,1,6.5,0.24,0.32,7.6,0.038,203.0,0.9958,3.45,0.54,9.7,7
132,0,1,6.5,0.425,0.4,13.1,0.038,241.0,0.9979,3.23,0.57,9.0,5
133,0,1,6.6,0.24,0.27,15.8,0.035,188.0,0.9982,3.24,0.51,9.2,5
134,0,1,6.8,0.27,0.22,8.1,0.034,203.0,0.9961,3.19,0.52,8.9,5
135,0,1,6.7,0.27,0.31,15.7,0.036,179.0,0.9979,3.26,0.56,9.6,5
136,0,1,8.2,0.23,0.4,1.2,0.027,121.0,0.992,3.12,0.38,10.7,6
137,0,1,7.1,0.37,0.67,10.5,0.045,155.0,0.9975,3.16,0.44,8.7,5
138,0,1,6.8,0.19,0.36,1.9,0.035,96.0,0.9917,3.15,0.54,10.8,7
140,0,1,6.3,0.31,0.34,2.2,0.045,77.0,0.9927,3.3,0.43,10.2,5
141,0,1,7.1,0.37,0.67,10.5,0.045,155.0,0.9975,3.16,0.44,8.7,5
142,0,1,7.9,0.21,0.4,1.2,0.039,107.0,0.992,3.21,0.54,10.8,6
143,0,1,8.5,0.21,0.41,4.3,0.036,99.0,0.9947,3.18,0.53,9.7,6
144,0,1,8.1,0.2,0.4,2.0,0.037,87.0,0.9921,3.12,0.54,11.2,6
145,0,1,6.3,0.255,0.37,1.1,0.04,114.0,0.9905,3.0,0.39,10.9,6
146,0,1,5.6,0.16,0.27,1.4,0.044,168.0,0.9918,3.28,0.37,10.1,6
147,0,1,6.4,0.595,0.14,5.2,0.058,97.0,0.9951,3.38,0.36,9.0,4
148,0,1,6.3,0.34,0.33,4.6,0.034,80.0,0.9917,3.38,0.58,12.0,7
149,0,1,6.9,0.25,0.3,4.1,0.054,116.0,0.994,2.99,0.38,9.4,6
150,0,1,7.9,0.22,0.38,8.0,0.043,152.0,0.9934,3.12,0.32,11.5,7
151,0,1,7.6,0.18,0.46,10.2,0.055,135.0,0.9968,3.14,0.43,9.9,6
152,0,1,6.9,0.25,0.3,4.1,0.054,116.0,0.994,2.99,0.38,9.4,6
153,0,1,7.2,0.18,0.41,1.2,0.048,97.0,0.9919,3.14,0.45,10.4,5
154,0,1,8.2,0.23,0.4,7.5,0.049,76.0,0.9966,3.06,0.84,9.7,6
155,0,1,7.4,0.24,0.42,14.0,0.066,198.0,0.9979,2.89,0.42,8.9,6
156,0,1,7.4,0.24,0.42,14.0,0.066,198.0,0.9979,2.89,0.42,8.9,6
157,0,1,6.1,0.32,0.24,1.5,0.036,124.0,0.9898,3.29,0.42,12.4,7
158,0,1,5.2,0.44,0.04,1.4,0.036,119.0,0.9894,3.36,0.33,12.1,8
159,0,1,5.2,0.44,0.04,1.4,0.036,119.0,0.9894,3.36,0.33,12.1,8
160,0,1,6.1,0.32,0.24,1.5,0.036,124.0,0.9898,3.29,0.42,12.4,7
161,0,1,6.4,0.22,0.56,14.5,0.055,159.0,0.998,2.98,0.4,9.1,5
162,0,1,6.3,0.36,0.3,4.8,0.049,85.0,0.9932,3.28,0.39,10.6,5
163,0,1,7.4,0.24,0.42,14.0,0.066,198.0,0.9979,2.89,0.42,8.9,6
164,0,1,6.7,0.24,0.35,13.1,0.05,205.0,0.997,3.15,0.5,9.5,5
165,0,1,7.0,0.23,0.36,13.0,0.051,177.0,0.9972,3.16,0.49,9.8,5
166,0,1,8.4,0.27,0.46,8.7,0.048,197.0,0.9974,3.14,0.59,9.6,6
167,0,1,6.7,0.46,0.18,2.4,0.034,98.0,0.9896,3.08,0.44,12.6,7
168,0,1,7.5,0.29,0.31,8.95,0.055,151.0,0.9968,3.08,0.54,9.3,5
169,0,1,9.8,0.42,0.48,9.85,0.034,110.0,0.9958,2.87,0.29,10.0,5
170,0,1,7.1,0.3,0.46,1.5,0.066,133.0,0.9906,3.12,0.54,12.7,6
171,0,1,7.9,0.19,0.45,1.5,0.045,96.0,0.9917,3.13,0.39,11.0,6
172,0,1,7.6,0.48,0.37,0.8,0.037,100.0,0.9902,3.03,0.39,11.4,4
173,0,1,6.3,0.22,0.43,4.55,0.038,130.0,0.9918,3.35,0.33,11.5,7
175,0,1,6.9,0.23,0.4,7.5,0.04,151.0,0.9927,3.11,0.27,11.4,6
176,0,1,7.2,0.32,0.47,5.1,0.044,65.0,0.991,3.03,0.41,12.6,4
177,0,1,5.9,0.23,0.3,12.9,0.054,170.0,0.9972,3.28,0.39,9.4,5
178,0,1,6.0,0.67,0.07,1.2,0.06,108.0,0.9931,3.11,0.35,8.7,4
179,0,1,6.4,0.25,0.32,5.5,0.049,176.0,0.995,3.19,0.68,9.2,6
180,0,1,6.4,0.33,0.31,5.5,0.048,173.0,0.9951,3.19,0.66,9.3,6
181,0,1,7.1,0.34,0.15,1.2,0.053,183.0,0.9936,3.09,0.43,9.2,5
182,0,1,6.8,0.28,0.4,22.0,0.048,167.0,1.001,2.93,0.5,8.7,5
183,0,1,6.9,0.27,0.4,14.0,0.05,227.0,0.9979,3.18,0.58,9.6,6
184,0,1,6.8,0.26,0.56,11.9,0.043,226.0,0.997,3.02,0.63,9.3,5
185,0,1,6.8,0.29,0.56,11.9,0.043,230.0,0.9972,3.02,0.63,9.3,5
186,0,1,6.7,0.24,0.41,9.4,0.04,166.0,0.9954,3.12,0.61,9.9,6
187,0,1,5.9,0.3,0.23,4.2,0.038,119.0,0.9924,3.15,0.5,11.0,5
188,0,1,6.8,0.53,0.35,3.8,0.034,109.0,0.9906,3.26,0.57,12.7,8
189,0,1,6.5,0.28,0.28,8.5,0.047,210.0,0.9962,3.09,0.54,8.9,4
190,0,1,6.6,0.28,0.28,8.5,0.052,211.0,0.9962,3.09,0.55,8.9,6
191,0,1,6.8,0.28,0.4,22.0,0.048,167.0,1.001,2.93,0.5,8.7,5
192,0,1,6.8,0.28,0.36,8.0,0.045,123.0,0.9928,3.02,0.37,11.4,6
193,0,1,6.6,0.15,0.34,5.1,0.055,125.0,0.9942,3.36,0.42,9.6,5
194,0,1,6.4,0.29,0.44,3.6,0.2,181.0,0.9942,3.02,0.41,9.1,5
195,0,1,6.4,0.3,0.45,3.5,0.197,180.0,0.9942,3.02,0.39,9.1,6
196,0,1,6.4,0.29,0.44,3.6,0.197,183.0,0.9942,3.01,0.38,9.1,5
197,0,1,6.8,0.26,0.24,7.8,0.052,214.0,0.9961,3.13,0.47,8.9,5
198,0,1,7.1,0.32,0.24,13.1,0.05,204.0,0.998,3.1,0.49,8.8,5
199,0,1,6.8,0.26,0.24,7.8,0.052,214.0,0.9961,3.13,0.47,8.9,5
200,0,1,6.8,0.27,0.26,16.1,0.049,196.0,0.9984,3.15,0.5,9.3,5
201,0,1,7.1,0.32,0.24,13.1,0.05,204.0,0.998,3.1,0.49,8.8,5
202,0,1,6.9,0.54,0.32,13.2,0.05,236.0,0.9973,3.2,0.5,9.6,5
203,0,1,6.8,0.26,0.34,13.9,0.034,134.0,0.9949,3.33,0.53,12.0,6
204,0,1,5.8,0.28,0.35,2.3,0.053,114.0,0.9924,3.28,0.5,10.2,4
205,0,1,6.4,0.21,0.5,11.6,0.042,153.0,0.9972,3.15,0.43,8.8,5
206,0,1,7.0,0.16,0.32,8.3,0.045,126.0,0.9958,3.21,0.34,9.2,5
207,0,1,10.2,0.44,0.88,6.2,0.049,124.0,0.9968,2.99,0.51,9.9,4
208,0,1,6.8,0.57,0.29,2.2,0.04,77.0,0.9938,3.32,0.74,10.2,5
209,0,1,6.1,0.4,0.31,0.9,0.048,170.0,0.993,3.22,0.77,9.5,6
210,0,1,5.6,0.245,0.25,9.7,0.032,68.0,0.994,3.31,0.34,10.5,5
211,0,1,6.8,0.18,0.38,1.4,0.038,111.0,0.9918,3.32,0.59,11.2,7
212,0,1,7.0,0.16,0.32,8.3,0.045,126.0,0.9958,3.21,0.34,9.2,5
213,0,1,6.7,0.13,0.29,5.3,0.051,122.0,0.9944,3.44,0.37,9.7,6
214,0,1,6.2,0.25,0.25,1.4,0.03,105.0,0.9912,3.3,0.44,11.1,7
215,0,1,5.8,0.26,0.24,9.2,0.044,152.0,0.9961,3.31,0.38,9.4,5
216,0,1,7.5,0.27,0.36,7.0,0.036,164.0,0.9939,3.03,0.33,11.0,5
217,0,1,5.8,0.26,0.24,9.2,0.044,152.0,0.9961,3.31,0.38,9.4,5
218,0,1,5.7,0.28,0.24,17.5,0.044,167.0,0.9989,3.31,0.44,9.4,5
219,0,1,7.5,0.23,0.36,7.0,0.036,161.0,0.9938,3.04,0.32,11.0,5
220,0,1,7.5,0.27,0.36,7.0,0.036,164.0,0.9939,3.03,0.33,11.0,5
221,0,1,7.2,0.685,0.21,9.5,0.07,172.0,0.9971,3.0,0.55,9.1,6
222,0,1,6.2,0.25,0.25,1.4,0.03,105.0,0.9912,3.3,0.44,11.1,7
223,0,1,6.5,0.19,0.3,0.8,0.043,144.0,0.9936,3.42,0.39,9.1,6
225,0,1,7.1,0.24,0.41,17.8,0.046,145.0,0.9998,3.32,0.39,8.7,5
226,0,1,6.4,0.17,0.32,2.4,0.048,200.0,0.9938,3.5,0.5,9.7,6
227,0,1,7.1,0.25,0.32,10.3,0.041,272.0,0.9969,3.17,0.52,9.1,6
228,0,1,6.4,0.17,0.32,2.4,0.048,200.0,0.9938,3.5,0.5,9.7,6
229,0,1,7.1,0.24,0.41,17.8,0.046,145.0,0.9998,3.32,0.39,8.7,5
230,0,1,6.8,0.64,0.08,9.7,0.062,142.0,0.9972,3.37,0.46,8.9,4
231,0,1,8.3,0.28,0.4,7.8,0.041,194.0,0.9976,3.34,0.51,9.6,6
232,0,1,8.2,0.27,0.39,7.8,0.039,208.0,0.9976,3.31,0.51,9.5,6
233,0,1,7.2,0.23,0.38,14.3,0.058,194.0,0.9979,3.09,0.44,9.0,6
234,0,1,7.2,0.23,0.38,14.3,0.058,194.0,0.9979,3.09,0.44,9.0,6
235,0,1,7.2,0.23,0.38,14.3,0.058,194.0,0.9979,3.09,0.44,9.0,6
236,0,1,7.2,0.23,0.38,14.3,0.058,194.0,0.9979,3.09,0.44,9.0,6
237,0,1,6.8,0.52,0.32,13.2,0.044,221.0,0.9972,3.27,0.5,9.6,6
238,0,1,7.0,0.26,0.59,1.4,0.037,120.0,0.9918,3.34,0.41,11.1,7
239,0,1,6.2,0.25,0.21,15.55,0.039,159.0,0.9982,3.48,0.64,9.6,6
240,0,1,7.3,0.32,0.23,13.7,0.05,197.0,0.9985,3.2,0.46,8.7,5
241,0,1,7.7,0.31,0.26,7.8,0.031,90.0,0.9944,3.13,0.5,10.4,5
242,0,1,7.1,0.21,0.37,2.4,0.026,100.0,0.9903,3.15,0.38,11.4,7
243,0,1,6.8,0.24,0.34,2.7,0.047,218.5,0.9934,3.3,0.58,9.7,6
244,0,1,6.9,0.4,0.56,11.2,0.043,142.0,0.9975,3.14,0.46,8.7,5
245,0,1,6.1,0.18,0.36,2.0,0.038,249.5,0.9923,3.37,0.79,11.3,6
246,0,1,6.8,0.21,0.27,2.1,0.03,139.0,0.99,3.16,0.61,12.6,7
247,0,1,5.8,0.2,0.27,1.4,0.031,77.0,0.9905,3.25,0.36,10.9,7
248,0,1,5.6,0.19,0.26,1.4,0.03,76.0,0.9905,3.25,0.37,10.9,7
250,0,1,5.9,0.21,0.28,4.6,0.053,199.0,0.9964,3.72,0.7,10.0,4
251,0,1,8.5,0.26,0.21,16.2,0.074,197.0,0.998,3.02,0.5,9.8,3
252,0,1,6.9,0.4,0.56,11.2,0.043,142.0,0.9975,3.14,0.46,8.7,5
253,0,1,5.8,0.24,0.44,3.5,0.029,109.0,0.9913,3.53,0.43,11.7,3
254,0,1,5.8,0.24,0.39,1.5,0.054,158.0,0.9932,3.21,0.52,9.3,6
255,0,1,6.7,0.26,0.39,1.1,0.04,147.0,0.9935,3.32,0.58,9.6,8
256,0,1,6.3,0.35,0.3,5.7,0.035,97.0,0.9927,3.27,0.41,11.0,7
257,0,1,6.3,0.35,0.3,5.7,0.035,97.0,0.9927,3.27,0.41,11.0,7
258,0,1,6.4,0.23,0.39,1.8,0.032,118.0,0.9912,3.32,0.5,11.8,6
259,0,1,5.8,0.36,0.38,0.9,0.037,75.0,0.9904,3.28,0.34,11.4,4
260,0,1,6.9,0.115,0.35,5.4,0.048,108.0,0.9939,3.32,0.42,10.2,6
261,0,1,6.9,0.29,0.4,19.45,0.043,156.0,0.9996,2.93,0.47,8.9,5
262,0,1,6.9,0.28,0.4,8.2,0.036,95.0,0.9944,3.17,0.33,10.2,5
263,0,1,7.2,0.29,0.4,13.6,0.045,231.0,0.9977,3.08,0.59,9.6,6
264,0,1,6.2,0.24,0.35,1.2,0.038,167.0,0.9912,3.1,0.48,10.6,6
265,0,1,6.9,0.29,0.4,19.45,0.043,156.0,0.9996,2.93,0.47,8.9,5
266,0,1,6.9,0.32,0.26,8.3,0.053,180.0,0.9965,3.25,0.51,9.2,6
269,0,1,5.4,0.59,0.07,7.0,0.045,147.0,0.9944,3.34,0.57,9.7,6
270,0,1,6.9,0.32,0.26,8.3,0.053,180.0,0.9965,3.25,0.51,9.2,6
271,0,1,5.2,0.6,0.07,7.0,0.044,147.0,0.9944,3.33,0.58,9.7,5
272,0,1,5.8,0.25,0.26,13.1,0.051,148.0,0.9972,3.29,0.38,9.3,5
273,0,1,6.6,0.58,0.3,5.1,0.057,123.0,0.9949,3.24,0.38,9.0,5
274,0,1,7.0,0.29,0.54,10.7,0.046,234.0,0.9966,3.05,0.61,9.5,5
275,0,1,6.6,0.19,0.41,8.9,0.046,169.0,0.9954,3.14,0.57,9.8,6
276,0,1,6.7,0.2,0.41,9.1,0.044,166.0,0.9954,3.14,0.58,9.8,6
277,0,1,7.7,0.26,0.4,1.1,0.042,60.0,0.9915,2.89,0.5,10.6,5
278,0,1,6.8,0.32,0.34,1.2,0.044,67.0,0.9919,3.05,0.47,10.6,4
279,0,1,7.0,0.3,0.49,4.7,0.036,105.0,0.9916,3.26,0.68,12.4,7
280,0,1,7.0,0.24,0.36,2.8,0.034,112.0,0.99,3.19,0.38,12.6,8
281,0,1,6.1,0.31,0.58,5.0,0.039,114.0,0.9909,3.3,0.6,12.3,8
282,0,1,6.8,0.44,0.37,5.1,0.047,201.0,0.9938,3.08,0.65,10.5,4
283,0,1,6.7,0.34,0.3,15.6,0.054,196.0,0.9982,3.19,0.49,9.3,5
284,0,1,7.1,0.35,0.24,15.4,0.055,198.0,0.9988,3.12,0.49,8.8,5
285,0,1,7.3,0.32,0.25,7.2,0.056,180.0,0.9961,3.08,0.47,8.8,5
286,0,1,6.5,0.28,0.33,15.7,0.053,190.0,0.9978,3.22,0.51,9.7,6
287,0,1,7.2,0.23,0.39,14.2,0.058,192.0,0.9979,2.98,0.48,9.0,7
288,0,1,7.2,0.23,0.39,14.2,0.058,192.0,0.9979,2.98,0.48,9.0,7
289,0,1,7.2,0.23,0.39,14.2,0.058,192.0,0.9979,2.98,0.48,9.0,7
290,0,1,7.2,0.23,0.39,14.2,0.058,192.0,0.9979,2.98,0.48,9.0,7
291,0,1,5.9,0.15,0.31,5.8,0.041,155.0,0.9945,3.52,0.46,10.5,6
292,0,1,7.4,0.28,0.42,19.8,0.066,195.0,1.0,2.96,0.44,9.1,5
293,0,1,6.2,0.28,0.22,7.3,0.041,157.0,0.9957,3.44,0.64,9.8,7
